Latitude,Longitude,VelDown,IAS,Altitude,Energy,AccelZ
0.663103,-2.12915,-0.01,20.04,1003.52,1024.01,-9.705
0.663102,-2.12915,0,20.04,1003.53,1024.02,-9.705
0.663101,-2.12915,0.01,20.04,1003.52,1024.01,-9.705
0.663101,-2.12914,0.02,20.04,1003.51,1024,-9.705
0.6631,-2.12914,0.03,19.88,1003.49,1023.65,-9.71
0.663099,-2.12913,0.1,20.04,1003.44,1023.93,-9.575
0.663099,-2.12913,0.11,20.04,1003.31,1023.8,-9.805
0.663098,-2.12913,0.04,20.04,1003.23,1023.72,-9.765
0.663097,-2.12912,0.02,20.04,1003.19,1023.68,-9.725
0.663097,-2.12912,0.02,20.04,1003.17,1023.66,-9.71
0.663096,-2.12911,0.07,20.04,1003.13,1023.62,-9.635
0.663095,-2.12911,0.03,20.04,1003.07,1023.56,-9.77
0.663094,-2.12911,-0.02,20.04,1003.05,1023.54,-9.745
0.663094,-2.1291,0,20.04,1003.07,1023.56,-9.645
0.663093,-2.1291,0.21,20.2,1002.98,1023.8,-10.13
0.663093,-2.12909,0.27,20.2,1002.74,1023.56,-10.72
0.663094,-2.12909,0.05,20.36,1002.56,1023.71,-11.115
0.663095,-2.12908,-0.44,20.2,1002.85,1023.67,-10.65
0.663097,-2.12908,-0.7,19.88,1003.56,1023.72,-9.87
0.663099,-2.12908,-0.41,19.72,1004.14,1023.98,-9.285
0.663102,-2.12908,0.15,19.72,1004.18,1024.02,-9.28
0.663104,-2.12907,0.37,19.88,1003.93,1024.09,-9.635
0.663106,-2.12907,0.17,20.36,1003.78,1024.93,-9
0.663108,-2.12907,-0.24,20.52,1003.72,1025.2,-10.295
0.663111,-2.12906,-0.67,20.36,1004.15,1025.3,-10.035
0.663113,-2.12906,-0.65,20.04,1004.82,1025.31,-9.525
0.663116,-2.12906,-0.27,19.88,1005.31,1025.47,-9.305
0.663118,-2.12905,0.16,19.72,1005.43,1025.27,-9.375
0.66312,-2.12905,0.41,19.88,1005.21,1025.37,-9.635
0.663123,-2.12905,0.37,19.88,1004.88,1025.04,-9.905
0.663125,-2.12905,0.28,19.88,1004.61,1024.77,-9.84
0.663128,-2.12904,0.26,19.72,1004.38,1024.22,-9.725
0.663131,-2.12904,0.39,19.88,1004.09,1024.25,-9.665
0.663133,-2.12904,0.37,19.88,1003.72,1023.88,-9.88
0.663136,-2.12904,0.28,20.04,1003.4,1023.89,-9.835
0.663139,-2.12903,0.15,20.04,1003.17,1023.66,-9.935
0.663142,-2.12903,0.06,20.04,1003.07,1023.56,-9.825
0.663144,-2.12903,0.04,20.04,1003.01,1023.5,-9.77
0.663147,-2.12903,0.09,20.04,1002.95,1023.44,-9.695
0.663149,-2.12902,0.26,20.04,1002.79,1023.28,-10.05
0.663152,-2.12902,0.37,20.2,1002.49,1023.31,-10.67
0.663153,-2.12902,0.15,20.36,1002.22,1023.37,-11.15
0.663155,-2.12901,-0.26,20.2,1002.26,1023.08,-11.1
0.663155,-2.12901,-0.56,20.04,1002.67,1023.16,-10.495
0.663155,-2.129,-0.58,19.88,1003.27,1023.43,-9.825
0.663154,-2.129,-0.32,19.72,1003.75,1023.59,-9.51
0.663154,-2.129,0.05,19.88,1003.94,1024.1,-9.42
0.663153,-2.12899,0.19,19.88,1003.85,1024.01,-9.73
0.663152,-2.12899,0.15,20.04,1003.71,1024.2,-9.905
0.663151,-2.12898,0.03,20.04,1003.64,1024.13,-9.83
0.66315,-2.12898,0,20.04,1003.63,1024.12,-9.77
0.663149,-2.12898,0.01,20.04,1003.62,1024.11,-9.745
